ProductType,Billing_Start_Date,NRC,MRC,state,country
In-house wiring,2019-08-21,1106,245,Oregon,United States
Project Item,2019-08-21,2400,0,New York,United States
Dark Fiber,2019-08-26,0,609,California,United States
In-house wiring,2019-08-26,0,200,California,United States
In-house wiring,2019-08-26,0,200,California,United States
Project Item,2019-09-02,56022,0,New York,United States
Project Item,2019-09-03,19857,0,Florida,United States
Project Item,2019-09-03,2300,0,New York,United States
Project Item,2019-09-03,89512,0,California,United States
Project Item,2019-09-03,185480,0,California,United States
Project Item,2019-09-03,54770,0,New York,United States
Project Item,2019-09-03,11712,0,Florida,United States
Project Item,2019-09-03,97824,0,Florida,United States
Project Item,2019-09-03,153976,0,Florida,United States
Project Item,2019-09-04,19910,0,Arkansas,United States
Project Item,2019-09-04,12250,0,Arkansas,United States
GIS2.0,2019-09-05,500,650,New York,United States
Project Item,2019-09-06,1282,0,Texas,United States
Project Item,2019-09-06,1860,0,Texas,United States
Project Item,2019-09-09,42000,0,Michigan,United States
Project Item,2019-09-09,59916,0,Michigan,United States
Project Item,2019-09-09,2438,0,Michigan,United States
Project Item,2019-09-09,37510,0,New York,United States
Project Item,2019-09-09,824,0,New York,United States
Project Item,2019-09-12,44709,0,District of Columbia,United States
Project Item,2019-09-12,37842,0,District of Columbia,United States
Project Item,2019-09-13,1300,0,Texas,United States
Project Item,2019-09-13,510,0,Texas,United States
Project Item,2019-09-27,31300,0,Michigan,United States
Project Item,2019-09-27,59389,0,Michigan,United States
Project Item,2019-10-01,34530,0,California,United States
Project Item,2019-10-01,298850,0,Florida,United States
Project Item,2019-10-01,6225,0,California,United States
Project Item,2019-10-01,20799,0,Illinois,United States
Dark Fiber,2019-10-01,1500,1500,Virginia,United States
Dark Fiber,2019-10-01,1500,1500,Virginia,United States
Project Item,2019-10-01,100559,0,Florida,United States
Project Item,2019-10-01,89761,0,South Carolina,United States
Dark Fiber,2019-10-01,1500,1500,Virginia,United States
Dark Fiber,2019-10-01,1500,1500,Virginia,United States
Project Item,2019-10-01,90450,0,Florida,United States
Project Item,2019-10-01,200496,0,Florida,United States
Project Item,2019-10-01,15623,0,Florida,United States
Project Item,2019-10-07,29335,0,Michigan,United States
Project Item,2019-10-07,30118,0,Michigan,United States
In-house wiring,2019-10-24,300,200,California,United States
Project Item,2019-10-25,83022,0,California,United States
Project Item,2019-10-25,2254,0,California,United States
Project Item,2019-10-25,861,0,California,United States
Project Item,2019-10-25,375,0,California,United States
Project Item,2019-10-25,46000,0,California,United States
Project Item,2019-10-25,2558,0,California,United States
Project Item,2019-10-31,3913,0,Illinois,United States
Project Item,2019-10-31,36087,0,Illinois,United States
Project Item,2019-11-01,376,0,New York,United States
CPE(EI),2019-11-05,0,175,Colorado,United States
Project Item,2019-11-08,65604,0,California,United States
Project Item,2019-11-08,24083,0,California,United States
In-house wiring,2019-11-08,0,250,Virginia,United States
In-house wiring,2019-11-11,0,250,Virginia,United States
Project Item,2019-11-15,22526,0,Texas,United States
Project Item,2019-11-15,8587,0,Texas,United States
Project Item,2019-11-15,26265,0,Texas,United States
Project Item,2019-11-18,65185,0,Massachusetts,United States
Project Item,2019-11-18,3246,0,Massachusetts,United States
Project Item,2019-11-18,274,0,New Jersey,United States
Project Item,2019-11-18,5390,0,Massachusetts,United States
Project Item,2019-11-18,2511,0,Massachusetts,United States
Project Item,2019-11-18,1527,0,New Jersey,United States
Project Item,2019-11-18,598,0,Massachusetts,United States
Project Item,2019-11-18,10600,0,Massachusetts,United States
GIS,2019-11-19,268,2413,California,United States
Project Item,2019-11-22,10797,0,New Jersey,United States
Project Item,2019-11-22,803,0,New Jersey,United States
In-house wiring,2019-11-25,0,250,Virginia,United States
Project Item,2019-11-29,12201,0,Texas,United States
GIS2.0,2019-12-01,0,360,California,United States
GIS2.0,2019-12-01,0,6000,California,United States
GIS2.0,2019-12-01,0,6000,California,United States
GIS2.0,2019-12-01,0,6000,California,United States
Project Item,2019-12-02,2085,0,Illinois,United States
Project Item,2019-12-02,1113,0,Illinois,United States
Project Item,2019-12-02,8786,0,Illinois,United States
Project Item,2019-12-02,9475,0,New York,United States
Project Item,2019-12-02,583,0,Illinois,United States
Project Item,2019-12-02,2427,0,Illinois,United States
Project Item,2019-12-02,7350,0,New York,United States
Project Item,2019-12-02,6824,0,Illinois,United States
Project Item,2019-12-02,17488,0,New York,United States
Project Item,2019-12-06,18453,0,New Jersey,United States
Project Item,2019-12-11,87009,0,New York,United States
Project Item,2019-12-11,78817,0,New York,United States
In-house wiring,2019-12-13,400,245,Oregon,United States
Dark Fiber,2019-12-27,0,4900,California,United States
Dark Fiber,2019-12-27,0,4900,California,United States
Dark Fiber,2019-12-27,0,4900,California,United States
Dark Fiber,2019-12-27,0,4900,California,United States
Project Item,2019-12-31,12350,0,Florida,United States
Project Item,2020-01-02,11257,0,California,United States
Project Item,2020-01-02,28882,0,California,United States
Project Item,2020-01-06,152370,0,California,United States
Project Item,2020-01-06,35950,0,California,United States
Project Item,2020-01-08,22780,0,South Carolina,United States
Project Item,2020-01-09,7964,0,Michigan,United States
Project Item,2020-01-15,89089,0,California,United States
Project Item,2020-01-15,32782,0,California,United States
Project Item,2020-01-30,12578,0,California,United States
Project Item,2020-01-30,2062,0,California,United States
In-house wiring,2020-02-03,0,250,Virginia,United States
In-house wiring,2020-02-03,0,250,Virginia,United States
Project Item,2020-02-06,3590,0,Texas,United States
Project Item,2020-02-06,61883,0,Louisiana,United States
GIS2.0,2020-02-10,0,4000,California,United States
GIS2.0,2020-02-10,0,4250,California,United States
GIS2.0,2020-02-10,0,4000,California,United States
Project Item,2020-02-20,480,0,Michigan,United States
Project Item,2020-02-20,3205,0,Michigan,United States
Project Item,2020-03-02,4680,0,New York,United States
Dark Fiber,2020-03-03,1087,1087,Virginia,United States
Dark Fiber,2020-03-03,1359,1359,Virginia,United States
Dark Fiber,2020-03-03,1359,1359,Virginia,United States
Dark Fiber,2020-03-03,1087,1087,Virginia,United States
Project Item,2020-03-07,12000,0,Virginia,United States
Project Item,2020-03-09,3360,0,Michigan,United States
Project Item,2020-03-09,3700,0,Illinois,United States
