ProductType,CircuitStatus,Billing_Start_Date,Currency,NRC,MRC,Bandwidth,city,state,country
Netcare,ACTIVE,2019-08-08,USD,0.0,85.0,0,Shanghai,Shanghai,China
VPN,ACTIVE,2019-08-08,USD,2750.0,13620.0,150,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-08-08,USD,0.0,2810.0,50,Shanghai,Shanghai,China
Managed/Maintenance Service,ACTIVE,2019-08-09,USD,0.0,14930.0,0,Seattle Pop,Washington,United States
Netcare,ACTIVE,2019-08-09,USD,0.0,85.0,0,Shenzhen,Guangdong,China
Managed/Maintenance Service,ACTIVE,2019-08-09,USD,0.0,14930.0,0,London,London,United Kingdom
Netcare,ACTIVE,2019-08-09,USD,0.0,45.0,0,Wulumuqi,Xinjiang,China
VPN,ACTIVE,2019-08-09,USD,0.0,1465.0,10,Shenzhen,Guangdong,China
CPE(EI),ACTIVE,2019-08-10,CNY,0.0,351.7957142857143,0,Shenzhen,Guangdong,China
Netcare,ACTIVE,2019-08-10,CNY,0.0,81.47857142857143,0,Shenzhen,Guangdong,China
VPN,ACTIVE,2019-08-10,CNY,0.0,6583.4685714285715,50,Shenzhen,Guangdong,China
CPE(EI),ACTIVE,2019-08-10,USD,0.0,651.0,0,Shenzhen,Guangdong,China
Netcare,ACTIVE,2019-08-10,USD,0.0,85.0,0,Shenzhen,Guangdong,China
VPN,ACTIVE,2019-08-10,USD,0.0,12185.0,100,Shenzhen,Guangdong,China
VPN,ACTIVE,2019-08-12,USD,0.0,6057.0,50,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-08-13,USD,0.0,5303.0,100,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-08-13,USD,0.0,2802.0,50,Shanghai,Shanghai,China
Netcare,ACTIVE,2019-08-13,USD,0.0,85.0,0,Shanghai,Shanghai,China
IEPL,ACTIVE,2019-08-13,USD,0.0,860.0,10,Shanghai,Hong Kong,China
Netcare,ACTIVE,2019-08-15,USD,0.0,85.0,0,Jiaxing,Zhejiang,China
Local Internet Access,ACTIVE,2019-08-16,USD,0.0,636.0,20,Anqing,Anhui,China
Netcare,ACTIVE,2019-08-18,USD,0.0,85.0,0,Shanghai,Shanghai,China
VPN,ACTIVE,2019-08-19,USD,660.0,2590.0,20,Shanghai,Shanghai,China
IEPL,ACTIVE,2019-08-19,USD,0.0,685.0,10,Shanghai,Hong Kong,China
VPN,ACTIVE,2019-08-19,USD,2500.0,788.0,4,Suizhou,Hubei,China
CPE(EI),ACTIVE,2019-08-19,USD,400.0,150.0,0,Shanghai,Shanghai,China
CPE(EI),ACTIVE,2019-08-19,USD,0.0,100.0,0,Suizhou,Hubei,China
CPE(EI),ACTIVE,2019-08-19,USD,0.0,100.0,0,Rizhao,Shandong,China
Netcare,ACTIVE,2019-08-21,USD,0.0,85.0,0,Tianjin,Tianjin,China
VPN,ACTIVE,2019-08-21,USD,0.0,3805.0,20,Tianjin,Tianjin,China
In-house wiring,ACTIVE,2019-08-21,USD,1106.0,245.0,0,Hillsboro CLS,Oregon,United States
Local Internet Access,ACTIVE,2019-08-21,CNY,696.4285714285714,195.0,20,Kunming,Yunnan,China
Netcare,ACTIVE,2019-08-21,CNY,0.0,41.857142857142854,0,Kunming,Yunnan,China
Netcare,ACTIVE,2019-08-22,USD,0.0,85.0,0,Shanghai,Shanghai,China
Netcare,ACTIVE,2019-08-23,USD,0.0,85.0,0,Shanghai,Shanghai,China
Netcare,ACTIVE,2019-08-23,USD,0.0,85.0,0,Shanghai,Shanghai,China
VPN,ACTIVE,2019-08-23,USD,2750.0,17350.0,200,Beijing,Beijing,China
VPN,ACTIVE,2019-08-23,USD,550.0,11000.0,100,Xian,Shaanxi,China
Netcare,ACTIVE,2019-08-23,USD,0.0,85.0,0,Beijing,Beijing,China
CPE(EI),ACTIVE,2019-08-25,USD,0.0,100.0,0,Weifang,Shandong,China
CPE(EI),ACTIVE,2019-08-25,USD,0.0,150.0,0,Nantong,Jiangsu,China
VPN,ACTIVE,2019-08-25,USD,1000.0,2590.0,20,Haimen,Jiangsu,China
VPN,ACTIVE,2019-08-25,USD,3000.0,788.0,4,Weifang,Shandong,China
CPE(EI),ACTIVE,2019-08-26,USD,0.0,100.0,0,Shanghai,Shanghai,China
In-house wiring,ACTIVE,2019-08-26,USD,0.0,200.0,0,Los Angeles,California,United States
Netcare,ACTIVE,2019-08-26,USD,0.0,85.0,0,Anqing,Anhui,China
Dark Fiber,ACTIVE,2019-08-26,USD,0.0,609.0,0,Los Angeles,California,United States
In-house wiring,ACTIVE,2019-08-26,USD,0.0,200.0,0,Los Angeles,California,United States
VPN,ACTIVE,2019-08-26,USD,3500.0,788.0,4,Shanghai,Shanghai,China
Netcare,ACTIVE,2019-08-29,USD,0.0,65.0,0,BadenWutterberg,BadenWutterberg,Germany
VPN,ACTIVE,2019-08-29,USD,640.0,11000.0,100,Shanghai,Shanghai,China
IEPL,ACTIVE,2019-08-30,USD,2500.0,7000.0,100,Beijing,Singapore Other,China
IEPL,ACTIVE,2019-08-30,USD,563.66,1922.02,100,Beijing,Singapore Other,China
Netcare,ACTIVE,2019-09-01,USD,0.0,85.0,0,Nantong,Jiangsu,China
Netcare,ACTIVE,2019-09-01,USD,0.0,85.0,0,Suizhou,Hubei,China
Netcare,ACTIVE,2019-09-01,USD,0.0,85.0,0,Shanghai,Shanghai,China
Netcare,ACTIVE,2019-09-01,USD,0.0,85.0,0,Weifang,Shandong,China
Netcare,ACTIVE,2019-09-01,USD,0.0,85.0,0,Rizhao,Shandong,China
Netcare,ACTIVE,2019-09-01,USD,0.0,85.0,0,Shanghai,Shanghai,China
CPE,ACTIVE,2019-09-02,USD,0.0,85.0,0,BadenWutterberg,BadenWutterberg,Germany
VPN,ACTIVE,2019-09-05,USD,0.0,3306.0,50,London,United Kingdom,London Equinix LD8 POP
VPN,ACTIVE,2019-09-05,USD,1700.0,1320.0,10,Rizhao,Shandong,China
GIS2.0,ACTIVE,2019-09-05,USD,500.0,650.0,0,New York,New York,United States
Local Internet Access,ACTIVE,2019-09-08,CNY,696.4285714285714,195.0,20,Chongqing,Chongqing,China
Netcare,ACTIVE,2019-09-08,CNY,0.0,41.857142857142854,0,Chongqing,Chongqing,China
VPN,ACTIVE,2019-09-11,USD,3500.0,7025.0,50,Xiamen,Fujian,China
VPN,ACTIVE,2019-09-11,USD,3500.0,4174.0,40,Beijing,Beijing,China
IEPL,ACTIVE,2019-09-12,USD,0.0,8300.0,100,Dalian,Liaoning,China
VPN,ACTIVE,2019-09-12,USD,0.0,1320.0,10,BadenWutterberg,Germany,Frankfurt Interxion FRA3 POP
Managed/Maintenance Service,ACTIVE,2019-09-13,USD,0.0,5880.0,0,Shanghai,Shanghai,China
Managed/Maintenance Service,ACTIVE,2019-09-13,USD,0.0,6510.0,0,Shanghai,Shanghai,China
VPN,ACTIVE,2019-09-16,USD,2000.0,2386.0,20,Xian,Shaanxi,China
Cloud VAS,ACTIVE,2019-09-17,USD,0.0,1550.0,0,Tokyo,Tokyo,Japan
Cloud VAS,ACTIVE,2019-09-17,USD,0.0,2900.0,0,Beijing,Beijing,China
Netcare,ACTIVE,2019-09-18,USD,0.0,40.0,0,Beijing,Beijing,China
VPN,ACTIVE,2019-09-18,USD,0.0,2565.2,300,Tokyo,Japan,Tokyo @Tokyo POP
Netcare,ACTIVE,2019-09-18,USD,0.0,40.0,0,Tokyo,Tokyo,Japan
VPN,ACTIVE,2019-09-18,USD,0.0,3858.0,400,Hong Kong,Hong Kong,China
VPN,ACTIVE,2019-09-18,USD,0.0,3858.0,400,Hong Kong,Hong Kong,China
VPN,ACTIVE,2019-09-18,USD,0.0,6714.4,300,Beijing,Beijing,China
VPN,ACTIVE,2019-09-18,USD,2000.0,4393.0,400,Hong Kong,Hong Kong,China
VPN,ACTIVE,2019-09-18,USD,0.0,4393.0,400,Hong Kong,Hong Kong,China
Netcare,ACTIVE,2019-09-22,USD,0.0,90.0,0,Tokyo,Tokyo,Japan
VPN,ACTIVE,2019-09-22,USD,0.0,1795.0,20,Tokyo,Japan,Tokyo @Tokyo POP
VPN,ACTIVE,2019-09-23,USD,3500.0,4722.0,30,Zhongshan,Guangdong,China
Netcare,ACTIVE,2019-09-23,USD,0.0,75.0,0,Aberdeenshire,Aberdeenshire,United Kingdom
IEPL,ACTIVE,2019-09-25,BRL,500.0,1643.59,0,Barueri,Brazil,Barueri
Dark Fiber,ACTIVE,2019-10-01,USD,1500.0,1500.0,0,Reston,Virginia,United States
Netcare,ACTIVE,2019-10-01,USD,0.0,85.0,0,London,London,United Kingdom
Dark Fiber,ACTIVE,2019-10-01,USD,1500.0,1500.0,0,Ashburn,Virginia,United States
Dark Fiber,ACTIVE,2019-10-01,USD,1500.0,1500.0,0,Ashburn,Virginia,United States
Dark Fiber,ACTIVE,2019-10-01,USD,1500.0,1500.0,0,Reston,Virginia,United States
VPN,ACTIVE,2019-10-14,USD,0.0,3775.0,20,Beijing,Beijing,China
CPE,ACTIVE,2019-10-14,USD,0.0,150.0,0,Beijing,Beijing,China
Netcare,ACTIVE,2019-10-14,USD,0.0,85.0,0,Beijing,Beijing,China
VPN,ACTIVE,2019-10-16,USD,2500.0,2440.0,10,Dongguan,Guangdong,China
VPN,ACTIVE,2019-10-16,USD,2500.0,2440.0,10,Dongguan,Guangdong,China
IEPL,ACTIVE,2019-10-18,BRL,250.0,1461.52,0,Barueri,Brazil,Barueri
Netcare,ACTIVE,2019-10-18,USD,0.0,45.0,0,Tianjin,Tianjin,China
VPN,ACTIVE,2019-10-18,USD,0.0,2675.0,10,Tianjin,Tianjin,China
VPN,ACTIVE,2019-10-19,USD,2000.0,4174.0,40,Shanghai,Shanghai,China
VPN,ACTIVE,2019-10-21,USD,2500.0,2440.0,10,Shenzhen,Guangdong,China
IEPL,ACTIVE,2019-10-22,BRL,250.0,1547.76,0,Barueri,Brazil,Barueri
In-house wiring,ACTIVE,2019-10-23,USD,300.0,250.0,0,Hong Kong Shatin MegaTwo POP,Hong Kong,China
Netcare,ACTIVE,2019-10-24,USD,0.0,45.0,0,Zhoushan,Zhejiang,China
VPN,ACTIVE,2019-10-24,USD,1500.0,14099.0,100,Zhoushan,Zhejiang,China
In-house wiring,ACTIVE,2019-10-24,USD,300.0,200.0,0,Los Angeles,California,United States
VPN,ACTIVE,2019-10-24,USD,1500.0,14099.0,100,Zhoushan,Zhejiang,China
Netcare,ACTIVE,2019-10-24,USD,0.0,45.0,0,Zhoushan,Zhejiang,China
Managed/Maintenance Service,ACTIVE,2019-10-25,USD,0.0,11970.0,0,Suzhou,Jiangsu,China
Local Internet Access,ACTIVE,2019-10-25,USD,0.0,1510.0,100,Suzhou,Jiangsu,China
Local Internet Access,ACTIVE,2019-10-25,USD,0.0,1130.0,10,Shenzhen,Guangdong,China
VPN,ACTIVE,2019-10-31,USD,500.0,2600.0,15,Beijing,Beijing,China
Netcare,ACTIVE,2019-11-01,USD,0.0,85.0,0,nan,nan,
Local Internet Access,ACTIVE,2019-11-01,USD,0.0,1500.0,50,Beijing,Beijing,China
Netcare,ACTIVE,2019-11-01,USD,0.0,85.0,0,nan,nan,
Netcare,ACTIVE,2019-11-01,USD,0.0,85.0,0,nan,nan,
Netcare,ACTIVE,2019-11-01,USD,0.0,85.0,0,Shanghai,Shanghai,China
Netcare,ACTIVE,2019-11-01,USD,0.0,85.0,0,nan,nan,
Local Internet Access,ACTIVE,2019-11-02,USD,0.0,1300.0,20,Shanghai,Shanghai,China
